run,seed,type,total_reward,n_rows
10_classic,10,classic,13564.000000,20000
10_icarus_upgraded,10,icarus_upgraded,18053.000000,20000
10_only_ach,10,only_ach,12814.000000,20000
10_only_ne,10,only_ne,16956.000000,20000
11_classic,11,classic,14194.000000,20000
11_icarus_upgraded,11,icarus_upgraded,17738.000000,20000
11_only_ach,11,only_ach,12209.000000,20000
11_only_ne,11,only_ne,17095.000000,20000
12_classic,12,classic,12034.000000,20000
12_icarus_upgraded,12,icarus_upgraded,17206.000000,20000
12_only_ach,12,only_ach,13302.000000,20000
12_only_ne,12,only_ne,17679.000000,20000
13_classic,13,classic,13028.000000,20000
13_icarus_upgraded,13,icarus_upgraded,18272.000000,20000
13_only_ach,13,only_ach,14207.000000,20000
13_only_ne,13,only_ne,16901.000000,20000
14_classic,14,classic,15265.000000,20000
14_icarus_upgraded,14,icarus_upgraded,16339.000000,20000
14_only_ach,14,only_ach,12284.000000,20000
14_only_ne,14,only_ne,15565.000000,20000
15_classic,15,classic,15138.000000,20000
15_icarus_upgraded,15,icarus_upgraded,16777.000000,20000
15_only_ach,15,only_ach,13710.000000,20000
15_only_ne,15,only_ne,16972.000000,20000
16_classic,16,classic,14614.000000,20000
16_icarus_upgraded,16,icarus_upgraded,18235.000000,20000
16_only_ach,16,only_ach,11881.000000,20000
16_only_ne,16,only_ne,17779.000000,20000
17_classic,17,classic,12691.000000,20000
17_icarus_upgraded,17,icarus_upgraded,17473.000000,20000
17_only_ach,17,only_ach,13129.000000,20000
17_only_ne,17,only_ne,16967.000000,20000
18_classic,18,classic,14738.000000,20000
18_icarus_upgraded,18,icarus_upgraded,16821.000000,20000
18_only_ach,18,only_ach,12260.000000,20000
18_only_ne,18,only_ne,17166.000000,20000
19_classic,19,classic,13962.000000,20000
19_icarus_upgraded,19,icarus_upgraded,17987.000000,20000
19_only_ach,19,only_ach,12976.000000,20000
19_only_ne,19,only_ne,17752.000000,20000
1_classic,1,classic,13922.000000,20000
1_icarus_upgraded,1,icarus_upgraded,15775.000000,20000
1_only_ach,1,only_ach,14144.000000,20000
1_only_ne,1,only_ne,16379.000000,20000
20_classic,20,classic,13075.000000,20000
20_icarus_upgraded,20,icarus_upgraded,17792.000000,20000
20_only_ach,20,only_ach,13652.000000,20000
20_only_ne,20,only_ne,17664.000000,20000
2_classic,2,classic,14832.000000,20000
2_icarus_upgraded,2,icarus_upgraded,16139.000000,20000
2_only_ach,2,only_ach,13766.000000,20000
2_only_ne,2,only_ne,17201.000000,20000
3_classic,3,classic,14830.000000,20000
3_icarus_upgraded,3,icarus_upgraded,17681.000000,20000
3_only_ach,3,only_ach,12555.000000,20000
3_only_ne,3,only_ne,16633.000000,20000
4_classic,4,classic,14711.000000,20000
4_icarus_upgraded,4,icarus_upgraded,17665.000000,20000
4_only_ach,4,only_ach,13880.000000,20000
4_only_ne,4,only_ne,17562.000000,20000
5_classic,5,classic,12395.000000,20000
5_icarus_upgraded,5,icarus_upgraded,17896.000000,20000
5_only_ach,5,only_ach,13106.000000,20000
5_only_ne,5,only_ne,17806.000000,20000
6_classic,6,classic,14000.000000,20000
6_icarus_upgraded,6,icarus_upgraded,16430.000000,20000
6_only_ach,6,only_ach,14703.000000,20000
6_only_ne,6,only_ne,15730.000000,20000
7_classic,7,classic,12408.000000,20000
7_icarus_upgraded,7,icarus_upgraded,17612.000000,20000
7_only_ach,7,only_ach,12958.000000,20000
7_only_ne,7,only_ne,17304.000000,20000
8_classic,8,classic,14489.000000,20000
8_icarus_upgraded,8,icarus_upgraded,17152.000000,20000
8_only_ach,8,only_ach,13305.000000,20000
8_only_ne,8,only_ne,16283.000000,20000
9_classic,9,classic,14968.000000,20000
9_icarus_upgraded,9,icarus_upgraded,17632.000000,20000
9_only_ach,9,only_ach,12066.000000,20000
9_only_ne,9,only_ne,17094.000000,20000
noseed_classic,noseed,classic,14230.000000,20000
